import time: self [us] | cumulative | imported package
import time:        74 |         74 | winreg
import time:       192 |        192 |   _io
import time:        35 |         35 |   marshal
import time:       162 |        162 |   nt
import time:       270 |        658 | _frozen_importlib_external
import time:       695 |        695 |   time
import time:       102 |        796 | zipimport
import time:        57 |         57 |     _codecs
import time:       244 |        301 |   codecs
import time:       943 |        943 |   encodings.aliases
import time:      1875 |       3119 | encodings
import time:       532 |        532 | encodings.utf_8
import time:        46 |         46 |   _codecs_cn
import time:        54 |         54 |   _multibytecodec
import time:       552 |        651 | encodings.gbk
import time:        37 |         37 | _signal
import time:        30 |         30 |     _abc
import time:        99 |        128 |   abc
import time:       122 |        250 | io
import time:        53 |         53 |       _stat
import time:        58 |        111 |     stat
import time:       580 |        580 |     _collections_abc
import time:        30 |         30 |       genericpath
import time:        66 |         66 |       _winapi
import time:       353 |        447 |     ntpath
import time:       244 |       1381 |   os
import time:        67 |         67 |   _sitebuiltins
import time:      2064 |       2064 |   _distutils_hack
import time:       805 |        805 |     pywin32_system32
import time:      1452 |       2257 |   pywin32_bootstrap
import time:       504 |        504 |   sitecustomize
import time:       498 |        498 |   usercustomize
import time:      2279 |       9047 | site
import time:       532 |        532 |           posix
import time:        68 |        600 |         posixpath
import time:       761 |        761 |             types
import time:        72 |         72 |               _operator
import time:       818 |        890 |             operator
import time:       167 |        167 |                 itertools
import time:       627 |        627 |                 keyword
import time:       647 |        647 |                 reprlib
import time:        72 |         72 |                 _collections
import time:      1310 |       2822 |               collections
import time:        59 |         59 |               _functools
import time:      1402 |       4283 |             functools
import time:      1766 |       7698 |           enum
import time:        69 |         69 |             _sre
import time:       645 |        645 |               re._constants
import time:       789 |       1433 |             re._parser
import time:       481 |        481 |             re._casefix
import time:       769 |       2752 |           re._compiler
import time:       655 |        655 |           copyreg
import time:       945 |      12048 |         re
import time:       685 |      13333 |       fnmatch
import time:       750 |        750 |       warnings
import time:        68 |         68 |       errno
import time:       656 |        656 |         urllib
import time:      1701 |       1701 |         ipaddress
import time:      1346 |       3703 |       urllib.parse
import time:      1107 |      18959 |     pathlib
import time:        81 |         81 |         binascii
import time:       728 |        728 |           importlib
import time:       616 |        616 |           importlib._abc
import time:      1009 |       1009 |           contextlib
import time:       659 |        659 |             _weakrefset
import time:      1000 |       1658 |           threading
import time:       146 |       4155 |         importlib.util
import time:        72 |         72 |           zlib
import time:       698 |        698 |             _compression
import time:      1349 |       1349 |             _bz2
import time:       696 |       2743 |           bz2
import time:      1135 |       1135 |             _lzma
import time:       715 |       1849 |           lzma
import time:      1171 |       5833 |         shutil
import time:        80 |         80 |           _struct
import time:       612 |        691 |         struct
import time:      1308 |      12068 |       zipfile
import time:       713 |        713 |       base64
import time:      1375 |       1375 |       textwrap
import time:       652 |        652 |         collections.abc
import time:       610 |        610 |             token
import time:      1218 |       1827 |           tokenize
import time:       624 |       2451 |         linecache
import time:       995 |       4097 |       traceback
import time:        62 |         62 |           math
import time:        47 |         47 |             _bisect
import time:       603 |        649 |           bisect
import time:        38 |         38 |           _random
import time:        37 |         37 |           _sha512
import time:       873 |       1656 |         random
import time:       818 |        818 |         weakref
import time:       871 |       3344 |       tempfile
import time:        43 |         43 |         _typing
import time:      2838 |       2880 |       typing
import time:       715 |        715 |         __future__
import time:        84 |         84 |         importlib.machinery
import time:       582 |        582 |         encodings.cp437
import time:       136 |        136 |         shibokensupport
import time:       116 |        116 |         shibokensupport.signature
import time:        71 |         71 |                 _ast
import time:      1372 |       1442 |               ast
import time:        50 |         50 |                   _opcode
import time:       822 |        872 |                 opcode
import time:      1210 |       2082 |               dis
import time:      2007 |       5530 |             inspect
import time:       894 |       6424 |           shibokensupport.feature
import time:      3619 |       3619 |           shibokensupport.signature.mapping
import time:      1036 |       1036 |           shibokensupport.signature.errorhandler
import time:       121 |        121 |                 shibokensupport.signature.lib
import time:       684 |        804 |               shibokensupport.signature.lib.tool
import time:      3530 |       4334 |             shibokensupport.signature.parser
import time:      2038 |       6372 |           shibokensupport.signature.layout
import time:      1046 |       1046 |             PySide6.support
import time:       647 |        647 |             PySide6.support.deprecated
import time:       304 |       1996 |           shibokensupport.signature.importhandler
import time:      2213 |       2213 |           shibokensupport.signature.lib.enum_sig
import time:      1295 |       1295 |               gettext
import time:      1281 |       2575 |             argparse
import time:        44 |         44 |                 _string
import time:      1063 |       1106 |               string
import time:        45 |         45 |               atexit
import time:      2032 |       3182 |             logging
import time:     13040 |      18797 |           shibokensupport.signature.lib.pyi_generator
import time:       883 |      41336 |         shibokensupport.signature.loader
import time:      5612 |      48579 |       shiboken6.Shiboken
import time:       953 |      74006 |     shiboken6
import time:      1595 |      94559 |   PySide6
import time:     10343 |      10343 |     PySide6.QtCore
import time:      3422 |      13764 |   PySide6.QtGui
import time:     20809 |     129132 | PySide6.QtWidgets
import time:       596 |        596 |     cosyvoice
import time:       672 |       1268 |   cosyvoice.cli
import time:      1630 |       1630 |     tqdm._monitor
import time:       496 |        496 |     tqdm._tqdm_pandas
import time:       103 |        103 |           _datetime
import time:      1579 |       1682 |         datetime
import time:      1080 |       1080 |         numbers
import time:       683 |        683 |           unicodedata
import time:       595 |        595 |                 colorama.ansi
import time:        52 |         52 |                   msvcrt
import time:      1160 |       1160 |                       _ctypes
import time:      1078 |       1078 |                       ctypes._endian
import time:      2288 |       4525 |                     ctypes
import time:       970 |        970 |                     ctypes.wintypes
import time:       630 |       6124 |                   colorama.win32
import time:       794 |       6969 |                 colorama.winterm
import time:      1483 |       9047 |               colorama.ansitowin32
import time:       949 |       9995 |             colorama.initialise
import time:      1107 |      11102 |           colorama
import time:      2332 |      14116 |         tqdm.utils
import time:      3944 |      20820 |       tqdm.std
import time:       436 |        436 |         tqdm._dist_ver
import time:       696 |       1132 |       tqdm.version
import time:      2899 |      24850 |     tqdm.cli
import time:       522 |        522 |     tqdm.gui
import time:      1851 |      29348 |   tqdm
import time:       641 |        641 |         yaml.error
import time:       630 |        630 |         yaml.tokens
import time:       574 |        574 |         yaml.events
import time:       491 |        491 |         yaml.nodes
import time:      6412 |       6412 |           yaml.reader
import time:       786 |        786 |           yaml.scanner
import time:       592 |        592 |           yaml.parser
import time:       530 |        530 |           yaml.composer
import time:      1503 |       1503 |           yaml.constructor
import time:      1940 |       1940 |           yaml.resolver
import time:      2416 |      14177 |         yaml.loader
import time:       650 |        650 |           yaml.emitter
import time:       522 |        522 |           yaml.serializer
import time:       846 |        846 |           yaml.representer
import time:      1441 |       3458 |         yaml.dumper
import time:       701 |        701 |           yaml._yaml
import time:       716 |       1417 |         yaml.cyaml
import time:      2583 |      23968 |       yaml
import time:       542 |        542 |             org
import time:        25 |        567 |           org.python
import time:        18 |        584 |         org.python.core
import time:       672 |       1256 |       copy
import time:      1324 |       1324 |         pkgutil
import time:      2122 |       2122 |         platform
import time:      1613 |       1613 |         sysconfig
import time:      4628 |       9686 |       pydoc
import time:       722 |        722 |         ruamel
import time:       742 |        742 |             ruamel.yaml.error
import time:       508 |        508 |               ruamel.yaml.util
import time:      1095 |       1602 |             ruamel.yaml.reader
import time:       503 |        503 |                   ruamel.yaml.docinfo
import time:       840 |       1342 |                 ruamel.yaml.compat
import time:       976 |       2318 |               ruamel.yaml.tokens
import time:      1352 |       3670 |             ruamel.yaml.scanner
import time:       482 |        482 |                 ruamel.yaml.tag
import time:       880 |       1361 |               ruamel.yaml.events
import time:       460 |        460 |                   ruamel.yaml.anchor
import time:       796 |       1255 |                 ruamel.yaml.scalarstring
import time:      1502 |       2757 |               ruamel.yaml.comments
import time:      1876 |       5993 |             ruamel.yaml.parser
import time:       639 |        639 |               ruamel.yaml.nodes
import time:       832 |       1471 |             ruamel.yaml.composer
import time:       567 |        567 |               ruamel.yaml.scalarint
import time:       531 |        531 |               ruamel.yaml.scalarfloat
import time:       485 |        485 |               ruamel.yaml.scalarbool
import time:       481 |        481 |               ruamel.yaml.timestamp
import time:      1847 |       3910 |             ruamel.yaml.constructor
import time:       810 |        810 |             ruamel.yaml.emitter
import time:       584 |        584 |             ruamel.yaml.serializer
import time:       793 |        793 |             ruamel.yaml.representer
import time:      1183 |      20754 |           _ruamel_yaml
import time:       713 |        713 |           ruamel.yaml.resolver
import time:      1905 |      23371 |         ruamel.yaml.cyaml
import time:      1216 |       1216 |           glob
import time:      1925 |       1925 |           ruamel.yaml.loader
import time:      1281 |       1281 |           ruamel.yaml.dumper
import time:      1638 |       6059 |         ruamel.yaml.main
import time:      1458 |      31609 |       ruamel.yaml
import time:      1944 |      68461 |     hyperpyyaml.core
import time:      1139 |      69600 |   hyperpyyaml
import time:       647 |        647 |       modelscope.utils
import time:      2496 |       2496 |           _hashlib
import time:        54 |         54 |           _blake2
import time:       881 |       3431 |         hashlib
import time:        73 |         73 |               _json
import time:       680 |        752 |             json.scanner
import time:      1091 |       1842 |           json.decoder
import time:       760 |        760 |           json.encoder
import time:      1284 |       3885 |         json
import time:       454 |        454 |         modelscope.version
import time:      1230 |       1230 |           modelscope.utils.constant
import time:      1287 |       2516 |         modelscope.metainfo
import time:      1020 |       1020 |         modelscope.utils.file_utils
import time:       481 |        481 |           modelscope.utils.logger
import time:       755 |        755 |               _compat_pickle
import time:       119 |        119 |               _pickle
import time:       541 |        541 |                   org
import time:        21 |        561 |                 org.python
