import time: self [us] | cumulative | imported package
import time:        75 |         75 | winreg
import time:       194 |        194 |   _io
import time:        36 |         36 |   marshal
import time:       174 |        174 |   nt
import time:       285 |        686 | _frozen_importlib_external
import time:       721 |        721 |   time
import time:       125 |        846 | zipimport
import time:        62 |         62 |     _codecs
import time:       254 |        316 |   codecs
import time:       982 |        982 |   encodings.aliases
import time:      1876 |       3173 | encodings
import time:       630 |        630 | encodings.utf_8
import time:        46 |         46 |   _codecs_cn
import time:        64 |         64 |   _multibytecodec
import time:       571 |        680 | encodings.gbk
import time:        38 |         38 | _signal
import time:        29 |         29 |     _abc
import time:       101 |        129 |   abc
import time:       122 |        251 | io
import time:        65 |         65 |       _stat
import time:        74 |        138 |     stat
import time:       714 |        714 |     _collections_abc
import time:        31 |         31 |       genericpath
import time:        68 |         68 |       _winapi
import time:       340 |        438 |     ntpath
import time:       250 |       1540 |   os
import time:        80 |         80 |   _sitebuiltins
import time:      2092 |       2092 |   _distutils_hack
import time:       845 |        845 |     pywin32_system32
import time:      1273 |       2117 |   pywin32_bootstrap
import time:       497 |        497 |   sitecustomize
import time:       558 |        558 |   usercustomize
import time:      2338 |       9218 | site
import time:       558 |        558 |           posix
import time:        76 |        634 |         posixpath
import time:       789 |        789 |             types
import time:        77 |         77 |               _operator
import time:       987 |       1063 |             operator
import time:       168 |        168 |                 itertools
import time:       630 |        630 |                 keyword
import time:       678 |        678 |                 reprlib
import time:        77 |         77 |                 _collections
import time:      1240 |       2792 |               collections
import time:        61 |         61 |               _functools
import time:      1440 |       4292 |             functools
import time:      1652 |       7795 |           enum
import time:        70 |         70 |             _sre
import time:       599 |        599 |               re._constants
import time:       736 |       1335 |             re._parser
import time:       456 |        456 |             re._casefix
import time:       753 |       2613 |           re._compiler
import time:       649 |        649 |           copyreg
import time:       979 |      12034 |         re
import time:       713 |      13380 |       fnmatch
import time:       767 |        767 |       warnings
import time:        71 |         71 |       errno
import time:       715 |        715 |         urllib
import time:      1697 |       1697 |         ipaddress
import time:      1718 |       4129 |       urllib.parse
import time:      1272 |      19617 |     pathlib
import time:        81 |         81 |         binascii
import time:       773 |        773 |           importlib
import time:       639 |        639 |           importlib._abc
import time:      1031 |       1031 |           contextlib
import time:      1054 |       1054 |             _weakrefset
import time:      1330 |       2383 |           threading
import time:       185 |       5009 |         importlib.util
import time:        76 |         76 |           zlib
import time:       677 |        677 |             _compression
import time:      1611 |       1611 |             _bz2
import time:       752 |       3039 |           bz2
import time:      1279 |       1279 |             _lzma
import time:       759 |       2037 |           lzma
import time:      1453 |       6603 |         shutil
import time:        79 |         79 |           _struct
import time:       655 |        733 |         struct
import time:      1407 |      13832 |       zipfile
import time:       761 |        761 |       base64
import time:      1514 |       1514 |       textwrap
import time:       645 |        645 |         collections.abc
import time:       648 |        648 |             token
import time:      1277 |       1925 |           tokenize
import time:       659 |       2583 |         linecache
import time:      1048 |       4275 |       traceback
import time:        70 |         70 |           math
import time:        50 |         50 |             _bisect
import time:       679 |        728 |           bisect
import time:        51 |         51 |           _random
import time:        40 |         40 |           _sha512
import time:       924 |       1811 |         random
import time:       867 |        867 |         weakref
import time:       960 |       3637 |       tempfile
import time:        43 |         43 |         _typing
import time:      2996 |       3038 |       typing
import time:       724 |        724 |         __future__
import time:        74 |         74 |         importlib.machinery
import time:       612 |        612 |         encodings.cp437
import time:       142 |        142 |         shibokensupport
import time:       117 |        117 |         shibokensupport.signature
import time:        72 |         72 |                 _ast
import time:      1402 |       1474 |               ast
import time:        51 |         51 |                   _opcode
import time:       871 |        922 |                 opcode
import time:      1471 |       2393 |               dis
import time:      2049 |       5915 |             inspect
import time:       957 |       6872 |           shibokensupport.feature
import time:      3853 |       3853 |           shibokensupport.signature.mapping
import time:      1137 |       1137 |           shibokensupport.signature.errorhandler
import time:       117 |        117 |                 shibokensupport.signature.lib
import time:       735 |        852 |               shibokensupport.signature.lib.tool
import time:      4018 |       4869 |             shibokensupport.signature.parser
import time:      2130 |       6999 |           shibokensupport.signature.layout
import time:      4560 |       4560 |             PySide6.support
import time:       719 |        719 |             PySide6.support.deprecated
import time:       341 |       5620 |           shibokensupport.signature.importhandler
import time:      2282 |       2282 |           shibokensupport.signature.lib.enum_sig
import time:      1350 |       1350 |               gettext
import time:      1781 |       3131 |             argparse
import time:        45 |         45 |                 _string
import time:      1085 |       1130 |               string
import time:        47 |         47 |               atexit
import time:      2081 |       3258 |             logging
import time:     13256 |      19644 |           shibokensupport.signature.lib.pyi_generator
import time:       866 |      47268 |         shibokensupport.signature.loader
import time:     83749 |     132683 |       shiboken6.Shiboken
import time:      1188 |     160925 |     shiboken6
import time:      3441 |     183982 |   PySide6
import time:     56551 |      56551 |     PySide6.QtCore
import time:     34957 |      91507 |   PySide6.QtGui
import time:    231178 |     506666 | PySide6.QtWidgets
import time:       779 |        779 |     cosyvoice
import time:       731 |       1510 |   cosyvoice.cli
import time:      9718 |       9718 |     tqdm._monitor
import time:      1033 |       1033 |     tqdm._tqdm_pandas
import time:       131 |        131 |           _datetime
import time:      7420 |       7551 |         datetime
import time:      6857 |       6857 |         numbers
import time:       815 |        815 |           unicodedata
import time:       738 |        738 |                 colorama.ansi
import time:        57 |         57 |                   msvcrt
import time:      1330 |       1330 |                       _ctypes
import time:      7884 |       7884 |                       ctypes._endian
import time:     18512 |      27726 |                     ctypes
import time:      1041 |       1041 |                     ctypes.wintypes
import time:      1019 |      29786 |                   colorama.win32
import time:      5135 |      34977 |                 colorama.winterm
import time:     17144 |      52859 |               colorama.ansitowin32
import time:      7304 |      60163 |             colorama.initialise
import time:      6239 |      66401 |           colorama
import time:      2564 |      69780 |         tqdm.utils
import time:     39119 |     123306 |       tqdm.std
import time:       595 |        595 |         tqdm._dist_ver
import time:      4752 |       5347 |       tqdm.version
import time:     47568 |     176219 |     tqdm.cli
import time:      1158 |       1158 |     tqdm.gui
import time:     25186 |     213312 |   tqdm
import time:      1150 |       1150 |         yaml.error
import time:       989 |        989 |         yaml.tokens
import time:       937 |        937 |         yaml.events
import time:       987 |        987 |         yaml.nodes
import time:     14453 |      14453 |           yaml.reader
import time:      1197 |       1197 |           yaml.scanner
import time:       861 |        861 |           yaml.parser
import time:       842 |        842 |           yaml.composer
import time:      8776 |       8776 |           yaml.constructor
import time:      2383 |       2383 |           yaml.resolver
import time:     38025 |      66534 |         yaml.loader
import time:       998 |        998 |           yaml.emitter
import time:       880 |        880 |           yaml.serializer
import time:      6807 |       6807 |           yaml.representer
import time:     19230 |      27913 |         yaml.dumper
import time:     17594 |      17594 |           yaml._yaml
import time:      1011 |      18605 |         yaml.cyaml
import time:     36701 |     153814 |       yaml
import time:       604 |        604 |             org
import time:        24 |        627 |           org.python
import time:        22 |        648 |         org.python.core
import time:       873 |       1521 |       copy
import time:     12135 |      12135 |         pkgutil
import time:      2361 |       2361 |         platform
import time:      8015 |       8015 |         sysconfig
import time:     54845 |      77355 |       pydoc
import time:       747 |        747 |         ruamel
import time:      1327 |       1327 |             ruamel.yaml.error
import time:      1270 |       1270 |               ruamel.yaml.util
import time:     13045 |      14315 |             ruamel.yaml.reader
import time:      1028 |       1028 |                   ruamel.yaml.docinfo
import time:      6563 |       7590 |                 ruamel.yaml.compat
import time:      6994 |      14583 |               ruamel.yaml.tokens
import time:      7786 |      22369 |             ruamel.yaml.scanner
import time:      1005 |       1005 |                 ruamel.yaml.tag
import time:      6453 |       7458 |               ruamel.yaml.events
import time:       729 |        729 |                   ruamel.yaml.anchor
import time:      5086 |       5814 |                 ruamel.yaml.scalarstring
import time:     11508 |      17322 |               ruamel.yaml.comments
import time:     21378 |      46157 |             ruamel.yaml.parser
import time:      1207 |       1207 |               ruamel.yaml.nodes
import time:      6438 |       7645 |             ruamel.yaml.composer
import time:       833 |        833 |               ruamel.yaml.scalarint
import time:      1074 |       1074 |               ruamel.yaml.scalarfloat
import time:       854 |        854 |               ruamel.yaml.scalarbool
import time:       794 |        794 |               ruamel.yaml.timestamp
import time:     22242 |      25796 |             ruamel.yaml.constructor
import time:      1413 |       1413 |             ruamel.yaml.emitter
import time:       969 |        969 |             ruamel.yaml.serializer
import time:      1145 |       1145 |             ruamel.yaml.representer
import time:     17142 |     138274 |           _ruamel_yaml
import time:      1270 |       1270 |           ruamel.yaml.resolver
import time:     25553 |     165096 |         ruamel.yaml.cyaml
import time:     12538 |      12538 |           glob
import time:     19891 |      19891 |           ruamel.yaml.loader
import time:     14653 |      14653 |           ruamel.yaml.dumper
import time:     18390 |      65470 |         ruamel.yaml.main
import time:     14558 |     245870 |       ruamel.yaml
